"Marka","Model","Motor","Araç Paketi","Model Yıl","Yakıt","Vites","Araç Durumu","Araç Kilometresi","Kasa Tipi","Motor Gücü","Motor Hacmi","Çekiş","Renk","Garanti","Ağır Hasar Kayıtlı","Plaka / Uyruk","Kimden","Takas","Fiyat"
"Hyundai","Bayon","1.4 MPI","Style","2021","Benzin","Otomatik","İkinci El","19000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Füme","Evet","Hayır","TR","Sahibinden","Hayır","905000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","9000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Mavi","Evet","Hayır","TR","Galeriden","Evet","940000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","6001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Galeriden","Evet","945000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","3500","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","927000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","6001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Füme","Evet","Hayır","TR","Galeriden","Evet","933500"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","6001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Galeriden","Hayır","965000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Evet","1135000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Hayır","950000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","6001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Galeriden","Evet","995000"
"Hyundai","Bayon","1.4 MPI","Style","2021","Benzin","Otomatik","İkinci El","21000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Evet","927750"
